t	protein
0.0	3.0
0.05	2.999914327574007
0.1	2.999657324975557
0.15000000000000002	2.999229036240723
0.2	2.9986295347545737
0.25	2.9978589232386037
0.30000000000000004	2.996917333733128
0.35000000000000003	2.9958049275746617
0.4	2.9945218953682735
0.45	2.9930684569549264
0.5	2.9914448613738105
0.55	2.9896513868196704
0.6000000000000001	2.9876883405951378
0.65	2.985556059058078
0.7000000000000001	2.9832549075639547
0.75	2.9807852804032304
0.8	2.9781476007338057
0.8500000000000001	2.9753423205085126
0.9	2.972369920397677
0.9500000000000001	2.9692309097067544
1.0	2.965925826289068
1.05	2.962455236453647
1.1	2.958819734868193
1.1500000000000001	2.9550199444571867
1.2000000000000002	2.9510565162951536
1.25	2.946930129495106
1.3	2.9426414910921785
1.35	2.9381913359224843
1.4000000000000001	2.9335804264972016
1.4500000000000002	2.9288095528719245
1.5	2.923879532511287
1.55	2.9187912101488984
1.6	2.9135454576426008
1.6500000000000001	2.9081431738250814
1.7000000000000002	2.9025852843498607
1.75	2.8968727415326883
1.8	2.891006524188368
1.85	2.884987637463042
1.9000000000000001	2.8788171126619653
1.9500000000000002	2.872496007072797
2.0	2.866025403784439
2.0500000000000003	2.859406411501453
2.1	2.852640164354092
2.15	2.8457278217039734
2.2	2.838670567945424
2.25	2.8314696123025453
2.3000000000000003	2.8241261886220155
2.35	2.816641555161679
2.4000000000000004	2.8090169943749475
2.45	2.8012538126910607
2.5	2.793353340291235
2.5500000000000003	2.785316930880745
2.6	2.777145961456971
2.6500000000000004	2.7688418320734596
2.7	2.760405965600031
2.75	2.7518398074789774
2.8000000000000003	2.743144825477394
2.85	2.7343225094356853
2.9000000000000004	2.7253743710122875
2.95	2.7163019434246545
3.0	2.7071067811865475
3.0500000000000003	2.69779045984168
3.1	2.688354575693754
3.1500000000000004	2.678800745532942
3.2	2.6691306063588582
3.25	2.659345815100069
3.3000000000000003	2.649448048330184
3.35	2.639439001980585
3.4000000000000004	2.6293203910498373
3.45	2.6190939493098337
3.5	2.6087614290087204
3.5500000000000003	2.598324600570659
3.6	2.5877852522924734
3.6500000000000004	2.5771451900372337
3.7	2.566406236924833
3.75	2.555570233019602
3.8000000000000003	2.5446390350150274
3.85	2.5336145159156116
3.9000000000000004	2.522498564715949
3.95	2.511293086077052
4.0	2.5
4.05	2.488621241496955
4.1000000000000005	2.4771587602596083
4.15	2.4656145203251114
4.2	2.4539904997395467
4.25	2.442288690219001
4.3	2.4305110968082952
4.3500000000000005	2.4186597375374284
4.4	2.4067366430758
4.45	2.394743856384267
4.5	2.3826834323650896
4.55	2.370557437509836
4.6000000000000005	2.3583679495453
4.65	2.346117057077493
4.7	2.333806859233771
4.75	2.3214394653031616
4.800000000000001	2.3090169943749475
4.8500000000000005	2.296541574975571
4.9	2.2840153447039224
4.95	2.271440449865074
5.0	2.2588190451025207
5.050000000000001	2.246153293028993
5.1000000000000005	2.233445363855905
5.15	2.220697435021501
5.2	2.2079116908177596
5.25	2.1950903220161284
5.300000000000001	2.1822355254921475
5.3500000000000005	2.1693495038490247
5.4	2.1564344650402307
5.45	2.143492621991179
5.5	2.1305261922200516
5.550000000000001	2.1175373974578373
5.6000000000000005	2.1045284632676533
5.65	2.0915016186634023
5.7	2.078459095727845
5.75	2.0654031292301434
5.800000000000001	2.0523359562429437
5.8500000000000005	2.0392598157590687
5.9	2.026176948307873
5.95	2.0130895955713446
6.0	2.0
6.050000000000001	1.9869104044286556
6.1000000000000005	1.9738230516921267
6.15	1.9607401842409313
6.2	1.9476640437570563
6.25	1.9345968707698569
6.300000000000001	1.921540904272155
6.3500000000000005	1.9084983813365974
6.4	1.8954715367323467
6.45	1.8824626025421625
6.5	1.8694738077799484
6.550000000000001	1.8565073780088206
6.6000000000000005	1.8435655349597693
6.65	1.8306504961509753
6.7	1.8177644745078525
6.75	1.8049096779838718
6.800000000000001	1.7920883091822404
6.8500000000000005	1.7793025649784988
6.9	1.7665546361440945
6.95	1.753846706971007
7.0	1.7411809548974793
7.050000000000001	1.7285595501349258
7.1000000000000005	1.7159846552960774
7.15	1.703458425024429
7.2	1.6909830056250525
7.25	1.6785605346968384
7.300000000000001	1.666193140766229
7.3500000000000005	1.6538829429225068
7.4	1.6416320504546997
7.45	1.6294425624901638
7.5	1.6173165676349104
7.550000000000001	1.6052561436157324
7.6000000000000005	1.5932633569241998
7.65	1.5813402624625716
7.7	1.5694889031917048
7.75	1.557711309780999
7.800000000000001	1.5460095002604528
7.8500000000000005	1.5343854796748886
7.9	1.5228412397403917
7.95	1.5113787585030454
8.0	1.5000000000000002
8.05	1.488706913922948
8.1	1.4775014352840512
8.15	1.4663854840843884
8.200000000000001	1.455360964984973
8.25	1.4444297669803978
8.3	1.433593763075167
8.35	1.4228548099627665
8.4	1.412214747707527
8.450000000000001	1.4016753994293407
8.5	1.3912385709912793
8.55	1.3809060506901658
8.6	1.3706796089501627
8.65	1.3605609980194153
8.700000000000001	1.3505519516698166
8.75	1.3406541848999312
8.8	1.3308693936411418
8.85	1.3211992544670585
8.9	1.3116454243062459
8.950000000000001	1.3022095401583198
9.0	1.2928932188134525
9.05	1.2836980565753457
9.1	1.2746256289877125
9.15	1.2656774905643144
9.200000000000001	1.2568551745226055
9.25	1.2481601925210226
9.3	1.239594034399969
9.35	1.2311581679265404
9.4	1.222854038543029
9.450000000000001	1.2146830691192552
9.5	1.206646659708765
9.55	1.1987461873089393
9.600000000000001	1.1909830056250523
9.65	1.183358444838321
9.700000000000001	1.1758738113779843
9.75	1.168530387697455
9.8	1.161329432054576
